2025-06-09 18:10:52,583 train batches in dataset: 200
2025-06-09 18:10:52,583 val batches in dataset: 25
2025-06-09 18:10:52,584 test batches in dataset: 25
2025-06-09 18:10:52,587 Trainable parameter: net_core.0.weight - size: torch.Size([256, 35])
2025-06-09 18:10:52,588 Trainable parameter: net_core.0.bias - size: torch.Size([256])
2025-06-09 18:10:52,588 Trainable parameter: net_core.1.weight - size: torch.Size([128, 256])
2025-06-09 18:10:52,588 Trainable parameter: net_core.1.bias - size: torch.Size([128])
2025-06-09 18:10:52,588 Trainable parameter: net_core.2.weight - size: torch.Size([64, 128])
2025-06-09 18:10:52,588 Trainable parameter: net_core.2.bias - size: torch.Size([64])
2025-06-09 18:10:52,589 Trainable parameter: net_core.3.weight - size: torch.Size([16, 64])
2025-06-09 18:10:52,589 Trainable parameter: net_core.3.bias - size: torch.Size([16])
2025-06-09 18:10:52,589 Trainable parameter: net_core.4.weight - size: torch.Size([1, 16])
2025-06-09 18:10:52,590 Trainable parameter: net_core.4.bias - size: torch.Size([1])
2025-06-09 18:10:52,590 Number of trainable parameters: 51425
2025-06-09 18:10:52,590 Number of non-trainable parameters: 0
2025-06-09 18:10:53,584 Epoch 1/300, Train Loss: 59.031899, Val Loss: 2.122281  
	Train = MSE:59.049713 , RMSE:7.684381 , MAE:4.978259 , MAPD:26.150865, R_squared:-0.022161  
	Validation = MSE:2.122281 , RMSE:1.456805 , MAE:1.171622 , MAPD:6.854810, R_squared:0.961812

2025-06-09 18:10:54,627 Epoch 2/300, Train Loss: 1.239252, Val Loss: 0.610598  
	Train = MSE:1.239386 , RMSE:1.113277 , MAE:0.888749 , MAPD:5.058071, R_squared:0.978546  
	Validation = MSE:0.610598 , RMSE:0.781408 , MAE:0.643660 , MAPD:3.408439, R_squared:0.989013

2025-06-09 18:10:55,034 Epoch 3/300, Train Loss: 0.345796, Val Loss: 0.187522  
	Train = MSE:0.345850 , RMSE:0.588090 , MAE:0.446805 , MAPD:2.400594, R_squared:0.994013  
	Validation = MSE:0.187522 , RMSE:0.433038 , MAE:0.324927 , MAPD:1.763473, R_squared:0.996626

2025-06-09 18:10:55,434 Epoch 4/300, Train Loss: 0.188984, Val Loss: 0.133525  
	Train = MSE:0.188988 , RMSE:0.434728 , MAE:0.323850 , MAPD:1.701535, R_squared:0.996729  
	Validation = MSE:0.133525 , RMSE:0.365411 , MAE:0.269413 , MAPD:1.485191, R_squared:0.997597

