2024-03-21 05:19:36,709 train batches in dataset: 100
2024-03-21 05:19:36,709 val batches in dataset: 13
2024-03-21 05:19:36,709 test batches in dataset: 13
2024-03-21 05:19:36,724 Trainable parameter: net_core.0.weight - size: torch.Size([256, 35])
2024-03-21 05:19:36,727 Trainable parameter: net_core.0.bias - size: torch.Size([256])
2024-03-21 05:19:36,728 Trainable parameter: net_core.1.weight - size: torch.Size([128, 256])
2024-03-21 05:19:36,731 Trainable parameter: net_core.1.bias - size: torch.Size([128])
2024-03-21 05:19:36,732 Trainable parameter: net_core.2.weight - size: torch.Size([64, 128])
2024-03-21 05:19:36,733 Trainable parameter: net_core.2.bias - size: torch.Size([64])
2024-03-21 05:19:36,734 Trainable parameter: net_core.3.weight - size: torch.Size([16, 64])
2024-03-21 05:19:36,735 Trainable parameter: net_core.3.bias - size: torch.Size([16])
2024-03-21 05:19:36,735 Trainable parameter: net_core.4.weight - size: torch.Size([1, 16])
2024-03-21 05:19:36,735 Trainable parameter: net_core.4.bias - size: torch.Size([1])
2024-03-21 05:19:36,736 Number of trainable parameters: 51425
2024-03-21 05:19:36,736 Number of non-trainable parameters: 0
2024-03-21 05:19:43,562 Epoch 1/300, Train Loss: 109.543332, Val Loss: 18.548717  
	Train = MSE:109.574005 , RMSE:10.467760 , MAE:7.849929 , MAPD:39.918436, R_squared:-0.896745  
	Validation = MSE:18.432589 , RMSE:4.293319 , MAE:3.737505 , MAPD:22.974962, R_squared:0.668323

2024-03-21 05:19:51,846 Epoch 2/300, Train Loss: 5.888986, Val Loss: 2.015306  
	Train = MSE:5.889878 , RMSE:2.426907 , MAE:1.861339 , MAPD:10.994446, R_squared:0.898045  
	Validation = MSE:2.007566 , RMSE:1.416886 , MAE:1.150672 , MAPD:6.558733, R_squared:0.963876

2024-03-21 05:19:59,497 Epoch 3/300, Train Loss: 1.594882, Val Loss: 1.112225  
	Train = MSE:1.595040 , RMSE:1.262949 , MAE:1.029454 , MAPD:5.804878, R_squared:0.972390  
	Validation = MSE:1.112183 , RMSE:1.054601 , MAE:0.862033 , MAPD:4.848600, R_squared:0.979987

2024-03-21 05:20:06,447 Epoch 4/300, Train Loss: 0.960080, Val Loss: 0.743589  
	Train = MSE:0.960182 , RMSE:0.979889 , MAE:0.794176 , MAPD:4.417694, R_squared:0.983379  
	Validation = MSE:0.738190 , RMSE:0.859180 , MAE:0.689815 , MAPD:3.984121, R_squared:0.986717

2024-03-21 05:20:12,411 Epoch 5/300, Train Loss: 0.637506, Val Loss: 0.458843  
	Train = MSE:0.637533 , RMSE:0.798457 , MAE:0.636391 , MAPD:3.457041, R_squared:0.988964  
	Validation = MSE:0.461094 , RMSE:0.679039 , MAE:0.544031 , MAPD:3.019845, R_squared:0.991703

2024-03-21 05:20:18,150 Epoch 6/300, Train Loss: 0.441161, Val Loss: 0.322768  
	Train = MSE:0.441202 , RMSE:0.664230 , MAE:0.516859 , MAPD:2.780485, R_squared:0.992363  
	Validation = MSE:0.321591 , RMSE:0.567090 , MAE:0.443337 , MAPD:2.413250, R_squared:0.994213

2024-03-21 05:20:24,007 Epoch 7/300, Train Loss: 0.301002, Val Loss: 0.253538  
	Train = MSE:0.301042 , RMSE:0.548673 , MAE:0.413997 , MAPD:2.204467, R_squared:0.994789  
	Validation = MSE:0.252030 , RMSE:0.502026 , MAE:0.385232 , MAPD:2.158701, R_squared:0.995465

2024-03-21 05:20:29,889 Epoch 8/300, Train Loss: 0.234718, Val Loss: 0.204048  
	Train = MSE:0.234753 , RMSE:0.484513 , MAE:0.359019 , MAPD:1.910910, R_squared:0.995936  
	Validation = MSE:0.204089 , RMSE:0.451762 , MAE:0.341894 , MAPD:1.924423, R_squared:0.996328

2024-03-21 05:20:35,801 Epoch 9/300, Train Loss: 0.192635, Val Loss: 0.198196  
	Train = MSE:0.192655 , RMSE:0.438925 , MAE:0.323795 , MAPD:1.729363, R_squared:0.996665  
	Validation = MSE:0.199162 , RMSE:0.446276 , MAE:0.324058 , MAPD:1.752717, R_squared:0.996416

2024-03-21 05:20:41,264 Epoch 10/300, Train Loss: 0.163140, Val Loss: 0.153094  
	Train = MSE:0.163136 , RMSE:0.403901 , MAE:0.292892 , MAPD:1.568435, R_squared:0.997176  
	Validation = MSE:0.154047 , RMSE:0.392489 , MAE:0.282680 , MAPD:1.551786, R_squared:0.997228

2024-03-21 05:20:47,651 Epoch 11/300, Train Loss: 0.151952, Val Loss: 0.161462  
	Train = MSE:0.151942 , RMSE:0.389798 , MAE:0.284423 , MAPD:1.524479, R_squared:0.997370  
	Validation = MSE:0.163143 , RMSE:0.403910 , MAE:0.316991 , MAPD:1.837407, R_squared:0.997064

2024-03-21 05:20:56,610 Epoch 12/300, Train Loss: 0.155336, Val Loss: 0.142038  
	Train = MSE:0.155355 , RMSE:0.394151 , MAE:0.292258 , MAPD:1.567289, R_squared:0.997311  
	Validation = MSE:0.143843 , RMSE:0.379267 , MAE:0.289549 , MAPD:1.672267, R_squared:0.997412

2024-03-21 05:21:03,057 Epoch 13/300, Train Loss: 0.126561, Val Loss: 0.125099  
	Train = MSE:0.126574 , RMSE:0.355773 , MAE:0.261585 , MAPD:1.413971, R_squared:0.997809  
	Validation = MSE:0.126160 , RMSE:0.355190 , MAE:0.262443 , MAPD:1.442651, R_squared:0.997730

2024-03-21 05:21:09,311 Epoch 14/300, Train Loss: 0.115031, Val Loss: 0.111796  
	Train = MSE:0.115045 , RMSE:0.339183 , MAE:0.247098 , MAPD:1.337837, R_squared:0.998009  
	Validation = MSE:0.113486 , RMSE:0.336877 , MAE:0.251282 , MAPD:1.436216, R_squared:0.997958

2024-03-21 05:21:15,215 Epoch 15/300, Train Loss: 0.106318, Val Loss: 0.100666  
	Train = MSE:0.106328 , RMSE:0.326080 , MAE:0.238430 , MAPD:1.297084, R_squared:0.998159  
	Validation = MSE:0.102195 , RMSE:0.319680 , MAE:0.229626 , MAPD:1.300485, R_squared:0.998161

