diretory_path,train,train_mse,train_rmse,train_mae,train_mapd,train_r2_squared,validation,val_mse,val_rmse,val_mae,val_mapd,val_r2_squared,test,test_mse,test_rmse,test_mae,test_mapd,test_r2_squared,time complexity,training time,validation time,test time,hyper-parameters,batch_size,lr_val,num_epochs,init_weights,num_hidden_layers,nodes_per_layer,activation,other parameters,feature_processing,label_type,input_feature_size,output_size,input_path,output_path,device
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3311407,train,0.29405394,0.54226738,0.49684078,2.56142503,0.99490988,val,0.31805938,0.56396753,0.51519483,2.71804803,0.99427683,test,0.31575179,0.56191796,0.51406235,2.54373649,0.99478865,time complexity,277.400591135025,0.0699999332427978,0.0599982738494873,hyper-parameters,512,0.1,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3312605,train,58.60942841,7.6556797,6.02725697,30.99947362,-0.01453917,val,55.76893616,7.46786022,5.92523623,31.44745723,-0.00350855,test,63.52311707,7.97013903,6.27910757,30.45895895,-0.04842271,time complexity,1284.683589220047,0.2689990997314453,0.2729995250701904,hyper-parameters,64,0.5,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3317183,train,273.9703064,16.55204773,14.70376682,67.34858003,-3.74247266,val,258.03457642,16.06345558,14.22886562,66.68587374,-3.64308529,test,300.84411621,17.34485817,15.50015736,68.50102989,-3.96530757,time complexity,514.3675889968872,0.1060013771057128,0.094999074935913,hyper-parameters,512,0.5,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3319695,train,57.99192047,7.61524248,6.34991217,34.80855693,-0.00385,val,56.46982574,7.51464081,6.30213451,35.56282503,-0.01612047,test,60.69470596,7.79068089,6.47200727,33.57148161,-0.00174097,time complexity,17622.548590660095,0.5460004806518555,0.551999568939209,hyper-parameters,2,0.1,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3330362,train,0.05491334,0.23433596,0.1753557,0.92545887,0.99904944,val,0.06617941,0.25725359,0.18474822,1.03004917,0.99880916,test,0.05772918,0.24026898,0.18459496,0.92463563,0.9990472,time complexity,5289.615590333939,0.9739999771118164,0.8900003433227539,hyper-parameters,16,0.05,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3331753,train,57.77032852,7.6006794,6.21087456,33.32403563,-1.422e-05,val,55.77308655,7.46813822,6.139884,33.95053636,-0.00358324,test,61.26992035,7.82751036,6.37893534,32.33435592,-0.01123469,time complexity,5236.772589921951,1.332000970840454,1.2170002460479736,hyper-parameters,16,0.1,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3339756,train,0.08163344,0.28571567,0.20788722,1.0961619,0.99858691,val,0.08107971,0.28474501,0.20873585,1.15128659,0.99854105,test,0.08263703,0.28746656,0.21181422,1.07077658,0.99863611,time complexity,2638.884590148926,0.4749984741210937,0.3889999389648437,hyper-parameters,32,0.1,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3340400,train,57.77215195,7.60079956,6.20489311,33.25821533,-4.57e-05,val,55.75331879,7.46681452,6.13295269,33.87941356,-0.00322759,test,61.30793381,7.82993841,6.37531567,32.28109535,-0.01186208,time complexity,739.5505890846252,0.2700002193450928,0.2629992961883545,hyper-parameters,128,0.05,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3349428,train,64.5398941,8.03367233,7.06957388,41.71935873,-0.11719656,val,65.04125214,8.06481552,7.1384263,43.10242292,-0.17035511,test,63.84943771,7.99058437,6.98829937,39.39891641,-0.05380855,time complexity,5535.088589429855,0.170999526977539,0.1710004806518554,hyper-parameters,1,0.5,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_335400,train,77.66844177,8.81297016,6.38204575,27.53390892,-0.34445386,val,71.46150208,8.45349026,6.03941631,26.68058898,-0.28588135,test,88.22749329,9.3929491,6.9230299,28.55035342,-0.4561582,time complexity,425.410588979721,0.1890020370483398,0.1119997501373291,hyper-parameters,256,0.5,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3355301,train,57.94110489,7.61190557,6.33335352,34.63538531,-0.00297035,val,56.36452484,7.5076313,6.28240395,35.37256461,-0.01422565,test,60.73526001,7.79328299,6.4605341,33.42578339,-0.00241029,time complexity,5655.222589969635,0.1710000038146972,0.1759994029998779,hyper-parameters,1,0.05,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3357864,train,57.99863052,7.61568308,6.35195875,34.82992092,-0.00396625,val,56.48325348,7.51553392,6.30457258,35.58629839,-0.01636209,test,60.69016647,7.79038954,6.4734211,33.58942981,-0.00166603,time complexity,5201.612590074539,0.7090017795562744,0.7149989604949951,hyper-parameters,16,0.5,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28\2024_03_21_03_39_3358713,train,59.85499191,7.73660088,6.65078211,37.83869145,-0.03610015,val,59.25660324,7.69783115,6.65559435,38.87673553,-0.0662658,test,61.00877762,7.81081152,6.69096088,36.15564325,-0.00692462,time complexity,13616.31958937645,1.3149995803833008,1.316999912261963,hyper-parameters,4,0.5,300,x_n,4,"[256, 128, 64, 16]",relu,other-parameters,normalized_35,r_avg_raw,35,1,F:\Codes\joint attention\Nano-particle\output_new_new,F:\Codes\joint attention\Nano-particle\FFNN_hyper_param_tuning\hyper_tuning_2024_03_21_03_39_28,cpu
